"","date","england_daily_cases","england_seven_day_average"
"701","2020-02-27",0,0.571428571428571
"702","2020-02-26",0,0.571428571428571
"703","2020-02-25",0,0.571428571428571
"704","2020-02-24",4,0.571428571428571
"705","2020-02-23",0,0
"706","2020-02-22",0,0
"707","2020-02-21",0,0
"708","2020-02-20",0,0
"709","2020-02-19",0,0.142857142857143
"710","2020-02-18",0,0.142857142857143
"711","2020-02-17",0,0.142857142857143
"712","2020-02-16",0,0.714285714285714
"713","2020-02-15",0,0.857142857142857
"714","2020-02-14",0,0.857142857142857
"715","2020-02-13",1,0.857142857142857
"716","2020-02-12",0,0.857142857142857
"717","2020-02-11",0,0.857142857142857
"718","2020-02-10",4,0.857142857142857
"719","2020-02-09",1,0.285714285714286
"720","2020-02-08",0,0.142857142857143
"721","2020-02-07",0,0.142857142857143
"722","2020-02-06",1,0.428571428571429
"723","2020-02-05",0,NA
"724","2020-02-04",0,NA
"725","2020-02-03",0,NA
"726","2020-02-02",0,NA
"727","2020-02-01",0,NA
"728","2020-01-31",2,NA
