"","date","name","hospital_cases","hospital_admissions","hospitalisations_seven_day_average"
"618","2020-04-13","England",18621,1912,2222.42857142857
"619","2020-04-12","England",18974,1791,2332
"620","2020-04-11","England",18604,1955,2446.42857142857
"621","2020-04-10","England",18669,2196,2537.57142857143
"622","2020-04-09","England",18423,2340,2590.14285714286
"623","2020-04-08","England",18152,2619,2674.71428571429
"624","2020-04-07","England",17814,2744,2743.28571428571
"625","2020-04-06","England",17154,2679,2700.85714285714
"626","2020-04-05","England",16657,2592,2720.57142857143
"627","2020-04-04","England",15469,2593,2662.57142857143
"628","2020-04-03","England",13635,2564,2559.71428571429
"629","2020-04-02","England",12135,2932,2469.28571428571
"630","2020-04-01","England",12059,3099,2284.57142857143
"631","2020-03-31","England",11154,2447,2092.57142857143
"632","2020-03-30","England",9852,2817,1963.57142857143
"633","2020-03-29","England",8424,2186,1722.28571428571
"634","2020-03-28","England",7269,1873,1532.71428571429
"635","2020-03-27","England",6462,1931,1376.14285714286
"636","2020-03-26","England",5226,1639,1199
"637","2020-03-25","England",4402,1755,1048.57142857143
"638","2020-03-24","England",3598,1544,NA
"639","2020-03-23","England",3183,1128,NA
"640","2020-03-22","England",2670,859,NA
"641","2020-03-21","England",2152,777,NA
"642","2020-03-20","England",1580,691,NA
"643","2020-03-19","England",0,586,NA
